テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,ブラウザ/プロジェクト結果,Bug ID,実行メモ
TC-E2E-011,TD033,TV030,TA009,E2E自動,E2E,高,プライバシー説明の視認,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,初期表示で確認し、その後開始ボタンをクリック,TD033 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,ネットワーク通信なしと外部送信なしの説明が初期表示後も結果表示後も視認できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様3.1.4, 8.1",R009,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-012,TD034,TV031,TA009,E2E自動,E2E,高,金融助言ではない旨の必須表示,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,初期表示で確認し、その後開始ボタンをクリック,TD034 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,金融助言または税務助言ではない旨と実制度や個人差の別途確認が画面上に表示される。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様3.1.4, 11.1",R009,作成済み,Fail,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Fail(failed), firefox:Fail(failed), webkit:Fail(failed)",E2E-BUG-001,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoContainText[2m([22m[32mexpected[39m[2m)[22m failed

Locator: locator('body')
Timeout: 5000ms
Expected pattern: [32m/金融助言|税務助言/[39m
Received string:  [31m""[39m
[31m  老後資金シミュレーター···[39m
[31m    🔒 プライバシー重視: このアプリケーションはネットワーク通信をせずローカルで動くので安心してください。あなたの財務情報が外部に送信されることはありません。······[39m
[31m    シミュレーション開始年齢:·[39m
[31m    退職年齢:·[39m
[31m    年金開始年齢:·[39m
[31m    退職後収入(月額):·[39m
[31m    給与(年収):··················[39m
[31m        📈 給与変更設定を表示/非表示······················[39m
[31m      転職・昇進による給与変更··············[39m
[31m        ➕ 給与変更を追加············[39m
[31m    年金月額:·[39m
[31m    開始時貯金:·[39m
[31m    開始時投資残高:·[39m
[31m  "
TC-E2E-013,TD036,TV026,TA007,E2E自動,Security,高,XSS img onerror入力,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,salary DOM値=<img src=x onerror=alert(1)>,TD036 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,alertやスクリプト実行が発生せず、結果表示がHTMLとして解釈されない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.2, 8.2",R007,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-014,TD036,TV026,TA007,E2E自動,Security,高,XSS script入力,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,salary DOM値=<script>alert(1)</script>,TD036 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,script実行が発生せず、結果表示がHTMLとして解釈されない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.2, 8.2",R007,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-015,TD036,TV026,TA007,E2E自動,Security,高,XSS記号列入力,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"salary DOM値=\u003c\u003e\""\u0026\u0027",TD036 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,HTML解釈や表示崩れが起きず、結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.2, 8.2",R007,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-016,TD039,TV029,TA008,E2E自動,Security,高,Network要求なし,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,開始操作時のブラウザNetwork要求を記録,TD039 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,file本体以外の外部ネットワーク要求が発生しない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様1.3, 8.1",R008,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-017,TD039,TV029,TA008,E2E自動,Security,高,外部リソースなし,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,初期表示と開始操作後のリソース一覧を記録,TD039 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"CDN, 外部CSS, 外部JS, 画像などの外部リソース参照がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様1.3, 8.1",R008,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-018,TD039,TV029,TA008,E2E自動,Security,高,ストレージ永続化なし,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"開始操作後にlocalStorage, sessionStorage, cookie, IndexedDBを確認",TD039 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,財務情報を保存する永続化データがない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様1.3, 8.1",R008,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-019,TD039,TV029,TA008,E2E自動,Security,高,外部API使用なし,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"開始操作中のfetch, XMLHttpRequest, sendBeaconを監視",TD039 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,外部API送信やビーコン送信が発生しない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様1.3, 8.1",R008,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-020,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定1回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定1",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-021,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定2回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定2",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-022,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定3回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定3",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-023,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定4回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定4",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-024,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定5回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定5",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-025,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定6回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定6",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-026,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定7回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定7",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-027,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定8回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定8",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-028,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定9回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定9",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-029,TD040,TV033,TA010,E2E自動,Performance,中,計算性能測定10回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定10",TD040 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,simulateRetirement呼び出し時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-030,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定1回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定1",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-031,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定2回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定2",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-032,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定3回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定3",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-033,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定4回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定4",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-034,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定5回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定5",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-035,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定6回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定6",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-036,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定7回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定7",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
