テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-012,TD002,TV002,TA001,コードベース,Unit,高,"課税所得6,950,000円境界",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=8639534.88円で課税所得6,950,000円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット6,950,000円境界の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-013,TD002,TV002,TA001,コードベース,Unit,高,"課税所得6,950,000円直後",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=8639536.05円で課税所得6,950,001円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット6,950,000円直後の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-014,TD002,TV002,TA001,コードベース,Unit,高,"課税所得9,000,000円直前",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=11023254.65円で課税所得8,999,999円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット9,000,000円直前の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-015,TD002,TV002,TA001,コードベース,Unit,高,"課税所得9,000,000円境界",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=11023255.81円で課税所得9,000,000円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット9,000,000円境界の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-016,TD002,TV002,TA001,コードベース,Unit,高,"課税所得9,000,000円直後",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=11023256.98円で課税所得9,000,001円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット9,000,000円直後の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-017,TD002,TV002,TA001,コードベース,Unit,高,"課税所得18,000,000円直前",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=21488370.93円で課税所得17,999,999円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット18,000,000円直前の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-018,TD002,TV002,TA001,コードベース,Unit,高,"課税所得18,000,000円境界",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=21488372.09円で課税所得18,000,000円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット18,000,000円境界の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-019,TD002,TV002,TA001,コードベース,Unit,高,"課税所得18,000,000円直後",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=21488373.26円で課税所得18,000,001円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット18,000,000円直後の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-020,TD002,TV002,TA001,コードベース,Unit,高,"課税所得40,000,000円直前",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=47069766.28円で課税所得39,999,999円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット40,000,000円直前の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-021,TD002,TV002,TA001,コードベース,Unit,高,"課税所得40,000,000円境界",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=47069767.44円で課税所得40,000,000円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット40,000,000円境界の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-022,TD002,TV002,TA001,コードベース,Unit,高,"課税所得40,000,000円直後",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=47069768.60円で課税所得40,000,001円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット40,000,000円直後の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-023,TD003,TV003,TA001,コードベース,Unit,高,年収0円,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=0,TD003 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,課税所得は0円になり、所得税と住民税は0円、月手取りは0円になる。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-024,TD003,TV003,TA001,コードベース,Unit,高,課税所得0円の低所得,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=558139.53円,TD003 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,課税所得は0円扱いになり、所得税と住民税が発生しない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-025,TD003,TV003,TA001,コードベース,Unit,高,課税所得1円相当,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=558140.70円,TD003 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,課税所得1円相当として税額が仕様式から算出され、月手取りが±0.01円以内で一致する。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-026,TD004,TV004,TA001,コードベース,Unit,高,内部小数値を保持する年収,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=1200001円,TD004 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,内部の月手取りは丸めず保持され、仕様式の小数値と±0.01円以内で一致する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F001, 3.1.3, 5.1","R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-027,TD004,TV004,TA001,コードベース,Unit,高,整数表示になる年収,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=3000000円,TD004 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,表示用金額はMath.round後の整数円になり、桁区切り付き文字列に一致する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F001, 3.1.3, 5.1","R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-028,TD005,TV010,TA003,コードベース,Unit,高,開始翌年1月の利息適用,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, initialInv=1000000, annualInterest=0.04, eventProb=0, 対象=31歳1月",TD005 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"31歳1月に投資残高が1,040,000円相当へ増加し、月次内部値は丸められない。","コードベーステスト実行ログ, アサーション結果",なし,仕様5.1,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-029,TD005,TV010,TA003,コードベース,Unit,高,2月の利息非適用,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, initialInv=1000000, annualInterest=0.04, eventProb=0, 対象=31歳2月",TD005 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,31歳2月には年初利息行が追加されず、1月以外の利息再適用が起きない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.1,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-030,TD005,TV010,TA003,コードベース,Unit,高,利回り0%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, initialInv=1000000, annualInterest=0, eventProb=0, 対象=31歳1月",TD005 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,年初利息適用後も投資残高は利息分で増減しない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.1,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-031,TD005,TV010,TA003,コードベース,Unit,高,利回り4%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, initialInv=1000000, annualInterest=0.04, eventProb=0, 対象=31歳1月",TD005 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,年初に前年度残高×1.04の内部値になる。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.1,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-032,TD005,TV010,TA003,コードベース,Unit,高,利回り-1%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, initialInv=1000000, annualInterest=-0.01, eventProb=0, 対象=31歳1月",TD005 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,年初に前年度残高×0.99の内部値になり、例外停止しない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.1,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-033,TD006,TV011,TA003,コードベース,Unit,高,補填不要,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=100000, initialInv=1000000, income=0, cost=50000, eventProb=0",TD006 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,現金不足がないため投資補填行は出ず、投資残高は補填で減らない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-034,TD006,TV011,TA003,コードベース,Unit,高,全額補填,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=0, initialInv=120000, income=0, cost=100000, eventProb=0",TD006 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"draw=100000円, tax=20000円となり、現金0円, 投資0円になる。","コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-035,TD006,TV011,TA003,コードベース,Unit,高,残高ちょうど,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=0, initialInv=60000, income=0, cost=50000, eventProb=0",TD006 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"draw=50000円, tax=10000円となり、投資残高は0円未満にならない。","コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-036,TD006,TV011,TA003,コードベース,Unit,高,残高不足,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=0, initialInv=30000, income=0, cost=50000, eventProb=0",TD006 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"draw=25000円, tax=5000円となり、現金不足が残っても投資残高は0円になる。","コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-001,実行ログでテストケースIDの失敗を確認
TC-CB-037,TD007,TV012,TA003,コードベース,Unit,高,投資0円で現金不足,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=0, initialInv=0, income=0, cost=100000, eventProb=0",TD007 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,補填なしで現金と総資産がマイナス表示され、計算は継続する。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-038,TD007,TV012,TA003,コードベース,Unit,高,投資残高不足で枯渇,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=0, initialInv=24000, income=0, cost=50000, eventProb=0",TD007 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,投資残高を使い切っても例外停止せず、現金不足が残る。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-002,実行ログでテストケースIDの失敗を確認
TC-CB-039,TD007,TV012,TA003,コードベース,Unit,高,補填後も現金マイナス継続,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=-10000, initialInv=12000, income=0, cost=50000, eventProb=0",TD007 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,補填後も現金がマイナスのまま月次結果へ表示される。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.2,"R003, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-003,実行ログでテストケースIDの失敗を確認
TC-CB-040,TD008,TV013,TA004,コードベース,Unit,中,イベント発生率0%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,eventProb=0,TD008 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,イベント行が出力されない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.3,R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-041,TD008,TV013,TA004,コードベース,Unit,中,イベント発生率100%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypesに入院1件",TD008 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"毎月イベント判定が発生し、入院200,000円が現金から差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,仕様5.3,R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-042,TD009,TV014,TA004,コードベース,Unit,中,入院イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:入院, cost:200000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"入院 のイベント行と費用200,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-043,TD009,TV014,TA004,コードベース,Unit,中,歯科治療イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:歯科治療, cost:50000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"歯科治療 のイベント行と費用50,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-044,TD009,TV014,TA004,コードベース,Unit,中,薬の購入イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:薬の購入, cost:20000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"薬の購入 のイベント行と費用20,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-045,TD009,TV014,TA004,コードベース,Unit,中,家電故障イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:家電故障, cost:100000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"家電故障 のイベント行と費用100,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
