テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-011,TD010,TV010,TA003,コードベース,Unit,高,投資補填代表値,現金不足を作る入力,"不足83,000円、投資残高十分",出力の補填行と残高を確認,"補填83,000円、税金16,600円、投資は99,600円減る",node test結果,なし,F005、5.2,R003,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-012,"TD011, TD013","TV011, TV013",TA003,コードベース,Unit,高,投資補填の最大取り崩し,現金不足を作る入力,"投資残高120,000円、不足200,000円",補填行、現金、投資残高を確認,"補填100,000円、税金20,000円、投資残高0円、現金不足が残る",node test結果,なし,5.2,R003,作成済み,Fail,20260531180327,npm run test:codebase,BUG-002,実行ログでテストケースIDの失敗を確認
TC-CB-013,TD012,TV012,TA003,コードベース,Unit,高,資産枯渇時の継続,投資残高0、現金不足,高支出、収入0,出力月数と残高表示を確認,マイナス現金/総資産を表示し、100歳12月まで継続する,node test結果,なし,5.2,R003,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-014,TD014,TV015,TA004,コードベース,Unit,高,給与変更の有効入力条件,給与変更配列を渡せる,age 0/1/100/101、salary 0/正値,シミュレーション出力の年収表示を確認,有効条件を満たす変更だけが反映される,node test結果,なし,F008、7.2,R004,作成済み,Fail,20260531180327,npm run test:codebase,BUG-003,実行ログでテストケースIDの失敗を確認
TC-CB-015,TD015,TV016,TA004,コードベース,Unit,高,給与変更の適用年齢,イベント発生率0,開始年齢前、開始年齢同年、退職年齢以降,出力の給与行と年収表示を確認,開始前は適用済み、開始同年は開始月から、退職後変更は影響なし,node test結果,なし,F008,R004,作成済み,Fail,20260531180327,npm run test:codebase,BUG-004,実行ログでテストケースIDの失敗を確認
TC-CB-016,TD016,TV017,TA004,コードベース,Unit,高,同一年齢給与変更の後勝ち,同一年齢変更を複数渡す,"35歳に4,000,000円後5,000,000円を追加",出力の年収表示を確認,"最後に追加した5,000,000円が優先される",node test結果,なし,F008,R004,作成済み,Fail,20260531180327,npm run test:codebase,BUG-005,実行ログでテストケースIDの失敗を確認
TC-CB-017,TD017,TV018,TA005,コードベース,Unit,中,イベント確率0%/100%,イベント種別1件,`eventProb=0` と `eventProb=1`,出力中のイベント行を確認,0ではイベントなし、1では毎月イベント行がある,node test結果,なし,F004、5.3,R005,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-018,TD018,TV019,TA005,コードベース,Unit,中,乱数固定イベント選択,`Math.random()` を差し替え可能,固定乱数でイベント配列の特定要素を選択,出力のイベント名と費用を確認,固定乱数どおりのイベントが再現される,node test結果,なし,5.3,R005,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-019,TD019,TV020,TA005,コードベース,Unit,低,イベント種別空配列の観察,仕様前提外を直接関数へ渡す,`eventProb=1`、`eventTypes=[]`,関数実行時の例外有無を観察,例外が発生する場合は仕様前提外の制約として記録,node test結果またはissue,なし,5.3,R005,作成済み,N/A,20260531180327,npm run test:codebase,,テストコマンドは失敗したが、このテストケースIDの結果をログから紐づけられなかった
TC-CB-020,TD020,TV042,TA002,コードベース,Regression,高,正式回帰資産の存在確認,ファイルシステム参照可能,`sample_app/test_retirement_simulator.html`,ファイル存在を確認,ファイルが存在する。存在しない場合は仕様不一致としてissue化,node test結果,なし,9.4,"R001, R002, R003, R004",作成済み,Fail,20260531180327,npm run test:codebase,BUG-006,実行ログでテストケースIDの失敗を確認
TC-CB-021,TD026,TV039,TA011,コードベース,Integration,高,高リスク組み合わせ,イベントを固定可能,退職後収入、年金開始、イベント100%、投資補填が重なる入力,出力の期間、イベント、補填、残高を確認,複数機能が重なっても仕様どおりの順序と残高になる,node test結果,なし,F002、F004、F005,"R002, R003, R005",作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
