テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行日,実行者,実行環境,実結果,判定,証跡リンク,備考
TC-MAN-016,TD052,TV044,TA013,人間実行,Code review,高,計算式差異確認,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。","仕様2.2, 5.1, 5.2 と対象コードの計算式",TD052 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,仕様式との差異を検出し、実装追随の期待値にすり替えない。,"レビュー記録, 差分メモ",なし,"仕様1.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-017,TD052,TV044,TA013,人間実行,Code review,高,入力属性差異確認,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。","仕様3.1.2, 7.1 とinput属性",TD052 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,"min, max, step, 初期値の差異を検出できる。","レビュー記録, 差分メモ",なし,"仕様1.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-018,TD052,TV044,TA013,人間実行,Code review,高,表示差異確認,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",仕様3.1.3 と結果表示処理,TD052 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,"表示丸め, 桁区切り, textContentの差異を検出できる。","レビュー記録, 差分メモ",なし,"仕様1.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-019,TD052,TV044,TA013,人間実行,Code review,高,注意文言差異確認,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。","仕様3.1.4, 11.1 と画面文言",TD052 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,必須注意文言の不足を検出できる。,"レビュー記録, 差分メモ",なし,"仕様1.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-020,TD052,TV044,TA013,人間実行,Code review,高,セキュリティ方針差異確認,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。","仕様8.1, 8.2 と対象コード",TD052 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,"外部依存, 永続化, innerHTML, textContentの差異を検出できる。","レビュー記録, 差分メモ",なし,"仕様1.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-021,TD052,TV044,TA013,人間実行,Code review,高,正式資産記述差異確認,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。","仕様9.4, sample_app/README.md, ファイル一覧",TD052 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,正式回帰HTMLの記述と実ファイル有無の差異を検出できる。,"レビュー記録, 差分メモ",なし,"仕様1.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-022,TD053,TV046,TA013,人間実行,Code review,高,BUG追跡方針,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",コードベースまたはコードレビューで仕様差異を検出した場合,TD053 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,差異をBUG-*候補として追跡し、仕様を正として扱い続ける。,"レビュー記録, 差分メモ",なし,"仕様1.4, 計画5",R013,作成済み,,,,,,,
TC-MAN-023,TD053,TV046,TA013,人間実行,Code review,高,E2E-BUG追跡方針,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",E2Eで仕様差異を検出した場合,TD053 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,差異をE2E-BUG-*候補として追跡し、ケースと実行結果へ反映できる。,"レビュー記録, 差分メモ",なし,"仕様1.4, 計画5",R013,作成済み,,,,,,,
TC-MAN-024,TD054,TV032,TA009,人間実行,Manual,中,画面注意表示の過信抑止,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,画面上の注意表示,TD054 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,金融助言または税務助言ではない旨が利用者に確認できる位置と文意で表示される。,"手動確認記録, スクリーンショット",なし,"仕様1.4, 3.1.4, 11.1","R009, R013",作成済み,,,,,,,
TC-MAN-025,TD054,TV032,TA009,人間実行,Manual,中,README注意事項の過信抑止,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,sample_app/README.md 注意事項,TD054 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,実制度や個人差の別途確認が必要である文意が欠落しない。,"手動確認記録, スクリーンショット",なし,"仕様1.4, 3.1.4, 11.1","R009, R013",作成済み,,,,,,,
TC-MAN-026,TD056,TV022,TA006,人間実行,Exploratory,高,年齢境界×給与変更,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,"retirementAge=65, pensionStartAge=67, salaryChanges=[{age:64,salary:4000000}]",TD056 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,境界年齢で収入種別と給与変更表示が仕様順で破綻しないことを探索記録に残す。,"レビュー記録, 差分メモ",なし,"仕様2.2, 5.1, 5.2, 5.3","R002, R003, R005, R013",作成済み,,,,,,,
TC-MAN-027,TD056,TV022,TA006,人間実行,Exploratory,高,投資率×補填,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,"investRate=100, initialCash=0, initialInv=120000, expenseRetired=100000",TD056 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,投資積立と補填が同じシナリオ内で破綻しないことを探索記録に残す。,"レビュー記録, 差分メモ",なし,"仕様2.2, 5.1, 5.2, 5.3","R002, R003, R005, R013",作成済み,,,,,,,
TC-MAN-028,TD056,TV022,TA006,人間実行,Exploratory,高,イベント×補填,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,"eventProb=100, eventTypes=[入院200000], initialCash=0, initialInv=240000",TD056 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,イベント費用後の補填と表示が破綻しないことを探索記録に残す。,"レビュー記録, 差分メモ",なし,"仕様2.2, 5.1, 5.2, 5.3","R002, R003, R005, R013",作成済み,,,,,,,
TC-MAN-029,TD056,TV022,TA006,人間実行,Exploratory,高,逆転条件×表示,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,"retirementAge=67, pensionStartAge=65, startAge=64",TD056 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,年金開始逆転条件でも給与優先後に年金へ遷移し、表示が破綻しないことを探索記録に残す。,"レビュー記録, 差分メモ",なし,"仕様2.2, 5.1, 5.2, 5.3","R002, R003, R005, R013",作成済み,,,,,,,
TC-MAN-030,TD058,TV047,TA014,人間実行,Evidence/reporting,中,MarkdownまたはCSVサマリ証跡,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",自動テスト実行後のサマリ成果物,TD058 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,サマリがテスト成果物配下に保存される方針を確認できる。,"レビュー記録, 差分メモ",なし,"仕様9.4, READMEワークフロー","R012, R013",作成済み,,,,,,,
TC-MAN-031,TD058,TV047,TA014,人間実行,Evidence/reporting,中,実行ログ証跡,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",自動テスト実行後のログ成果物,TD058 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,実行ログがテスト成果物配下に保存される方針を確認できる。,"レビュー記録, 差分メモ",なし,"仕様9.4, READMEワークフロー","R012, R013",作成済み,,,,,,,
TC-MAN-032,TD058,TV047,TA014,人間実行,Evidence/reporting,中,Playwright JSON証跡,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",E2E実行後のJSON結果,TD058 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,Playwright JSON結果がテスト成果物配下に保存される方針を確認できる。,"レビュー記録, 差分メモ",なし,"仕様9.4, READMEワークフロー","R012, R013",作成済み,,,,,,,
